,Unnamed: 0,struct,comp,E_P0,V_P0,Vf_P0,B0,BP0,c1s,Ncontent,Hcontent
34,34,cf464,Lu8 H12 N1,-0.6818437146167049,12.321661049625364,-3.1578032360889203,72.3650143141415,4.055680607766532,-5.916712817817912,1.0,12.0
35,35,cf232,Lu8 H10 N1,-0.6450211564285717,12.462531800648051,-3.950033988825632,47.30421830712188,19.917982050648117,-4.200108607939521,1.0,10.0
36,36,cf1096,Lu8 H10 N1,-0.6676694649144529,13.466232291025324,-2.94633349844836,74.3238522513196,3.954165176003119,-5.558941759891543,1.0,10.0
37,37,cf1062,Lu8 H18,-0.6518698560209416,9.678447102216476,-3.782706743937371,88.83088399000225,3.696771227273606,-9.23837366121466,0.0,18.0
38,38,cf490,Lu8 H14 N4,-0.8363475615781051,10.526558965207927,-4.189017957868994,83.19179333244483,4.627159292608443,-7.974019671284772,4.0,14.0
39,39,cf803,Lu8 N6 H8,-1.0214726512322985,11.075961481803215,-5.853697609105878,106.25800945269272,5.694287368504227,-9.71106575706313,6.0,8.0
40,40,cf64,Lu8 N4 H4,-1.1135692995558202,13.890085145689516,-5.8883523543104825,111.697959966697,3.355484894184944,-8.087893985638482,4.0,4.0
41,41,cf669,Lu8 N8 H8,-0.9576574936921436,10.919794959115022,-5.829788374218313,98.26472119349512,3.874173355706092,-9.06164447083676,8.0,8.0
42,42,cf90,Lu8 N5 H11,-0.9610866763596276,9.348519084793152,-6.38184549854018,184.93118917894176,21.62450817186664,-22.244599845042917,5.0,11.0
43,43,cf1065,Lu8 H13 N3,-0.8975596910034559,11.29457455800858,-3.7563108586580825,91.80335702812292,4.205405773744575,-8.191759976821263,3.0,13.0
44,44,cf235,Lu8 H11 N1,-0.6336749392590718,12.451457408107148,-3.4712300918928536,70.00249826694217,4.417868192223636,-5.669266166347629,1.0,11.0
45,45,cf463,Lu8 N5 H6,-1.124549260182233,13.72017077114106,-4.408973965701044,64.40099212575703,0.432745183725562,-4.699122808867948,5.0,6.0
46,46,cf1268,Lu8 H8 N3,-0.9143231456837384,12.1344011261352,-5.136454137022694,109.96948927249164,12.394298242562536,-9.46758147264278,3.0,8.0
47,47,cf97,Lu8 H19,-0.6542358867521182,9.183083495773396,-4.024509096819197,98.55317713641168,3.790932220172763,-10.804822533769576,0.0,19.0
48,48,cf867,Lu8 H10 N5,-0.9518197616733074,12.039346211453246,-4.087338571155449,76.76255050244622,2.60223900568451,-6.402738598454869,5.0,10.0
49,49,cf269,Lu8 N7 H14,-0.738531858991964,9.994193146316222,-4.726884439890674,114.01289791803634,22.473229225543427,-12.936393346014995,7.0,14.0
50,50,cf893,Lu8 H12 N8,-0.8482943786750964,9.940766599724952,-5.36101911456076,119.17835179180504,28.56778461766012,-14.548002304101052,8.0,12.0
51,51,cf1039,Lu8 H17,-0.6243829472362995,10.094090309083429,-3.6409096909165712,77.46245800556656,3.317509969981307,-7.717604543451773,0.0,17.0
52,52,cf400,Lu8 H10 N2,-0.7654023985902313,12.419117631804712,-3.91125736819529,71.00749615397208,4.417410341678832,-5.7656253179105255,2.0,10.0
53,53,cf632,Lu8 N6,-1.6857798047837735,15.402440975239648,-7.421309024760354,135.22844174483612,4.09404724701735,-8.845901156187029,6.0,0.0
54,54,cf858,Lu8 H7 N8,-1.0964510116767918,11.840914597477322,-5.349302793827024,109.81675336624232,16.235367879022476,-9.949545441769096,8.0,7.0
55,55,cf1234,Lu8 N4 H4,-1.2121429125581926,14.176922851547628,-5.601514648452371,111.10782438281836,5.753524830003718,-7.93475611697825,4.0,4.0
56,56,cf860,Lu8 N6 H6,-1.2383533261068806,12.018610032291432,-5.9425149677085685,92.3301984225894,5.634513724553021,-7.774846707009731,6.0,6.0
57,57,cf1001,Lu8 H11 N3,-0.8706103679181648,10.146359646645866,-5.671424444263226,196.38437638874063,23.27921294956588,-22.129624903800654,3.0,11.0
58,58,cf251,Lu8 N7 H6,-1.1921492449515168,10.925935602461566,-6.883171540395575,108.49104496480714,12.88885632564403,-10.405397992548403,7.0,6.0
59,59,cf38,Lu8 H16,-0.6225380058840528,10.369620604322703,-3.662046062343964,75.26978763027904,5.049178011405218,-7.332804713222597,0.0,16.0
60,60,cf407,Lu8 H9 N3,-0.8893968969197885,10.935292042516435,-5.8027704574835655,356.3807784828277,23.10617597247664,-37.19514188915039,3.0,9.0
61,61,cf1498,Lu8 H17 N4,-0.6933877494267453,9.57113911448652,-4.306447092410032,82.7676795613838,4.331459164829301,-8.718263219159454,4.0,17.0
62,62,cf31,Lu8 H13 N1,-0.735692652436476,11.696209832434455,-3.380324258474634,84.20859096808665,3.873102983860077,-7.249932806638414,1.0,13.0
63,63,cf1205,Lu8 H15 N4,-0.8155586647292323,9.394276185584404,-5.0212793699711495,96.21447613447404,4.436278936771382,-10.328380385216898,4.0,15.0
64,64,cf293,Lu8 N8 H2,-1.223630816097688,13.463081547480227,-6.664696230297551,96.4288206551088,5.616169114459765,-7.248346385945402,8.0,2.0
65,65,cf431,Lu8 H7 N5,-1.1230862410266127,12.829936787178388,-4.723500712821609,70.28508560179057,11.773551044073663,-5.701729540303162,5.0,7.0
66,66,cf869,Lu8 N8 H7,-1.0422463946622726,11.78734170867842,-5.402875682625926,81.40212352194288,14.408702584147612,-7.310205666481097,8.0,7.0
67,67,cf267,Lu8 N4 H8,-1.019883791198663,10.36891700327411,-6.776832996725892,400.47080096067566,20.023046149146985,-42.77806531308688,4.0,8.0
68,68,cf409,Lu8 N6 H1,-1.6202859077117562,14.284126440145457,-7.459040226521212,139.8676399110054,3.690006630535093,-9.855843160695184,6.0,1.0
69,69,cf851,Lu8 H8 N8,-0.9249131979637848,10.185644513985697,-6.563938819347637,93.77570935102696,11.543176649304137,-9.569458697573983,8.0,8.0
70,70,cf436,Lu8 N8 H5,-1.167771268933263,11.72188397481453,-6.475496977566422,97.84526419553468,8.706598147107364,-8.549770964906214,8.0,5.0
71,71,cf604,Lu8 H9 N8,-0.8655279513058486,11.293783347154902,-5.050416652845099,67.0564101485433,0.78245528261517,-5.946185389074777,8.0,9.0
72,72,cf1454,Lu8 H15 N4,-0.7631796541046006,10.194321535295645,-4.22123402025991,25.410316082598065,16.93459564187068,-2.688739060130165,4.0,15.0
73,73,cf294,Lu8 H11 N5,-0.9847308626037072,10.344032087638748,-5.386332495694585,45.79998156905487,14.318725857798936,-4.683969816520902,5.0,11.0
74,74,cf1030,Lu8 H19,-0.6607781671660228,9.17846926512764,-4.029123327464953,97.94128228963048,3.98889093714036,-10.748387567264476,0.0,19.0
75,75,cf234,Lu8 H14 N4,-0.8319063083097438,10.326077357420187,-4.389499565656735,76.22995697179445,3.264460489148845,-7.423316074411137,4.0,14.0
76,76,cf462,Lu8 H13 N5,-0.8384133446161286,10.864552912711314,-4.1646297795963765,62.6255680562188,1.337694415827856,-5.776572345486458,5.0,13.0
